"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","Login Validation Feature","1","0","Verification of UI Elements","0"
"0","","0","Login Validation Feature","1","0","Test Validation with Invalid Credentials","0"
"0","","0","Login Validation Feature","1","0","Test Validation with valid Credentials","0"
