"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","Product Page UI Validation","1","0","Verify if the Product Page Loads correctly","0"
"0","","0","Login Validation Feature","1","0","Test Validation with valid Credentials","0"
"0","","0","Product Page UI Validation","1","0","Add the products to the cart","0"
"0","","0","Login Validation Feature","1","0","Verification of UI Elements","0"
"0","","0","Product Page UI Validation","1","0","Cart Page Validation","0"
"0","","0","Login Validation Feature","1","0","Test Validation with Invalid Credentials","0"
